"date","SO2","CO","O3","PM2.5","PM10","NO2","NO","patient"
2017-04-14,4.1708,0.6388,36.975,48.3182,76.3636,21.6955,1.5542,20
2017-04-15,3.6917,0.5008,51.5,37.9167,67.9583,14.3083,1.1333,NA
2017-04-16,3.3625,0.2471,32.4167,22.5,47.125,8.0208,0.875,NA
2017-04-17,4.1583,0.2917,18.5333,17.2083,42.625,10.8375,1.8542,5
2017-04-18,1.5762,0.1659,35.1905,15.2917,31.75,4.45,0.14,27
2017-04-19,3.6292,0.3538,39.7958,31.5833,50.1667,14.2409,0.7833,8
2017-04-20,2.725,0.2483,24.0083,19.0833,35.75,10.9042,1.6125,7
2017-04-21,1.5333,0.1758,20.0833,16.125,27.8333,6.5292,0.3042,9
2017-04-22,2.325,0.3829,27.5833,24.2917,42.7083,15.8625,0.7417,NA
2017-04-23,2.6458,0.5483,31.2083,22.1667,46.5833,19.1542,0.6875,NA
2017-04-24,3.0125,0.5337,49.9167,28.0417,55,16.6333,0.4158,7
2017-04-25,2.65,0.5208,62.9167,52.75,88.4167,19.3125,1.2792,18
2017-04-26,4.6458,0.4762,49.2083,43.9167,74.9167,15.8667,1.6208,5
2017-04-27,3.9875,0.3775,31.9167,34.25,56.375,17.9,2.1208,11
2017-04-28,2.9542,0.3558,55.5,18.9167,44.8333,17.2917,1.8833,9
2017-04-29,4.9917,0.4367,69.875,28.0833,66.75,22.2083,1.4708,NA
2017-04-30,3.6333,0.3692,67.4583,25.6667,55.375,17.4375,0.85,NA
2017-05-01,6.7458,0.43,59.875,29.125,58.2083,20.8292,1.9292,NA
2017-05-02,4.8458,0.3838,51.9167,31.5,62.7083,17.5125,1.8708,34
2017-05-03,5.3958,0.3575,46.75,33.3333,55.4583,12.6792,0.9458,2
2017-05-04,5.0667,0.3212,41.5417,32,59.4583,14.0375,1.775,14
2017-05-05,5.9042,0.3562,44.9917,41.7083,69.3333,13.8375,1.7333,12
2017-05-06,3.7833,0.3667,40.5375,32.6667,64.375,13.9292,1.6542,NA
2017-05-07,3.7458,0.4204,50.125,41.25,74.2083,14.4125,1.6667,NA
2017-05-08,4.7667,0.3033,30.25,21.8333,54.5,14.5125,2.3417,3
2017-05-09,3.7375,0.1867,18.1042,12.0833,32.75,10.5,2.1375,13
2017-05-10,3.9542,0.2921,42.6958,22.625,51.4167,13.0125,1.6083,5
2017-05-11,3.6333,0.2938,47.5833,28.5,55.125,12.3917,1.2042,8
2017-05-12,5.6542,0.2892,17.6042,12.3182,44.1818,14.3333,3.9292,9
2017-05-13,1.6292,0.1529,30.75,14.7917,33.7083,7.5458,1.0917,NA
2017-05-14,3.6667,0.2275,41.875,14.5417,36.5417,10.65,1,NA
2017-05-15,4.7375,0.2683,53.0417,19.3333,43.125,12.6042,1.0417,6
2017-05-16,4.3125,0.4454,16.5417,15.5217,43.913,24.0417,5.5,16
2017-05-17,3.3708,0.3729,52.3333,16.5,40.75,18,1.4583,1
2017-05-18,4.2333,0.4267,63.75,32,62.2917,18.4583,0.8458,4
2017-05-19,4.45,0.5104,42.875,34.125,69.8333,22.5167,1.6417,9
2017-05-20,2.975,0.9279,30.875,21.375,46.875,16.2917,3.1125,NA
2017-05-21,2.4417,0.6325,40.675,26.0417,55.25,13.2833,1.3417,NA
2017-05-22,2.0583,0.1862,39.9167,14.4167,33.7917,6.6708,0.8292,9
2017-05-23,2.875,0.1679,32.2917,15.3333,31.1667,7.6208,1.35,12
2017-05-24,2.2458,0.2229,19.1917,7,25.7917,8.1167,2.0042,2
2017-05-25,3.2125,0.3075,17.9696,10.6087,23.913,14.2792,3.3458,11
2017-05-26,3.4292,0.49,43.2292,25.25,51.7083,21.8333,1.9708,10
2017-05-27,3.4417,0.3808,51.125,26.9583,56.4167,15.65,0.8417,NA
2017-05-28,3.2208,0.4108,53.75,35.9583,65.7917,15.4167,0.5667,NA
2017-05-29,3.4083,0.2917,64,24.375,53.7083,9.75,0.9833,1
2017-05-30,4.7042,0.4317,24.5542,16.6667,38.0417,18.0417,2.5708,NA
2017-05-31,3.5083,0.2004,23.9708,8.0417,21.375,11.3458,0.6417,2
2017-06-01,2.05,0.1737,17.2042,8.5652,23.3043,8.3875,1.4708,15
2017-06-02,2.0375,0.1333,15.9583,8.875,38.2083,5.4875,1.1458,7
2017-06-03,2.1125,0.1308,19.7083,12.0833,34.7917,4.4542,1.0708,NA
2017-06-04,2.675,0.3983,15.5625,4.625,27.0417,15.0625,5.0083,NA
2017-06-05,3.2913,0.3442,15.1208,11.5,32.9583,13.1,3.4917,4
2017-06-06,2.4542,0.2233,16.9417,9.875,32.0417,11.8625,2.8333,10
2017-06-07,4.5667,0.1962,17.7542,11.125,27.0833,10.5125,2.4,6
2017-06-08,4.7042,0.25,13.475,13.75,29.9167,13.6792,3.2542,10
2017-06-09,3.025,0.29,19.7958,10.7083,36.875,16.3292,2.8792,13
2017-06-10,2.2917,0.2667,9.325,11.75,33.5,13.275,3.9125,NA
2017-06-11,2.9292,0.2175,14.3167,8.0833,28,10.3292,2.8042,NA
2017-06-12,3.6833,0.2271,19.9708,8.2917,30.3333,11.5167,2.3917,7
2017-06-13,2.0542,0.1921,15.0375,6.7273,29.8261,8.9792,3.0708,14
2017-06-14,2.2625,0.1883,10.8958,7.9583,32.75,11.6708,2.4958,4
2017-06-15,3.0792,0.5342,6.0458,9.9583,30.9583,19.9333,14.2458,15
2017-06-16,2.7045,0.3029,10.1292,11.9583,36.125,12.7458,4.6208,3
2017-06-17,1.2417,0.2629,13.6708,8.8333,38,11.475,3.0417,NA
2017-06-18,2.6875,0.2612,10.625,5.75,29.4583,10.4042,2.6875,NA
2017-06-19,1.7652,0.2075,11.9833,8.3043,29.5217,9.4792,2.4583,3
2017-06-20,3.15,0.2162,11.1583,9.2083,28.625,9.575,2.2958,21
2017-06-21,2.8625,0.235,10.6,8.375,26.7917,10.9,3.1292,8
2017-06-22,2.4833,0.1933,14.9458,7.1667,23.5833,9.3458,2.7292,5
2017-06-23,4.125,0.1567,17.275,9.1667,26.4583,8.5292,1.9625,11
2017-06-24,2.7917,0.1554,16.925,8.9167,28.3333,8.2417,1.6583,1
2017-06-25,2.5292,0.1079,18.1042,2.8333,25.875,5.6708,1.1167,NA
2017-06-26,2.1917,0.1,18.3833,5.5,26.1667,5.0375,1.4625,2
2017-06-27,2.5,0.0975,16.1333,9.087,27.5217,6.6,1.4833,12
2017-06-28,2.75,0.1575,17.3625,8.4583,25.8333,8.4125,1.6833,1
2017-06-29,4.4292,0.3383,24.3958,14.5,38.4167,17.3,3.1083,12
2017-06-30,4.2375,0.3383,11.6083,9.875,32.75,15.875,5.7292,11
2017-07-01,4.8792,0.2342,8.2583,7.2917,35.9167,12.2625,4.2333,NA
2017-07-02,3.7667,0.1954,10.2167,6.625,24.6667,11.4583,2.725,NA
2017-07-03,3.615,0.2205,14.58,10.25,28.35,12.395,3.33,7
2017-07-04,4.6042,0.2808,8.9542,6.2083,31.6667,14.6167,5.7625,15
2017-07-05,4.4875,0.3179,15.4417,7.2917,36.5833,14.0208,6.05,4
2017-07-06,5.7625,0.3571,18.2542,15.0455,42.6818,16.4125,3.4708,14
2017-07-07,3.4708,0.2704,9.3167,8.4167,28.2083,13.3042,4.7667,12
2017-07-08,3.7125,0.2342,9.7167,8.9167,29.9167,12.0208,2.8833,NA
2017-07-09,4.0958,0.2104,11.9208,8.4167,29.0833,11.6833,3.9333,NA
2017-07-10,5.0375,0.1792,11.8958,7.2083,24.125,11.8125,2.6583,10
2017-07-11,4.75,0.2708,12.3542,7.0909,35.4091,14.0909,3.2227,24
2017-07-12,5.0304,0.3288,14.775,10.375,34.9167,18.9043,13.3913,1
2017-07-13,1.9,0.2467,25.5667,10.5417,32,11.7542,2.7917,11
2017-07-14,4.0333,0.2721,25.7333,13.375,39.9583,15.0542,2.3375,8
2017-07-15,3.7667,0.3088,32.3667,20.5,40.4167,16.9958,1.4125,NA
2017-07-16,3.1917,0.2975,29.4625,16.4583,42.8333,12.95,2.3375,NA
2017-07-17,3.1958,0.3625,33.925,17.5833,42.0833,15.3875,4.7833,3
2017-07-18,3.9958,0.3225,39.35,23.75,50.8333,17.225,0.9667,17
2017-07-19,3.2042,0.2596,33.5083,20.5652,45.2174,14.3542,0.7125,2
2017-07-20,4,0.2304,43.0417,23.5833,42.3333,10.7667,1.0125,12
2017-07-21,4.2857,0.3562,40.1417,23.6667,48.25,15.3,0.9583,12
2017-07-22,0.9833,0.2612,35.85,22,45.375,11.3542,1.1,NA
2017-07-23,2.55,0.1675,29.3833,14,37.3333,7.9458,0.5167,NA
2017-07-24,4.6125,0.2917,22.7875,11,34.1667,15.4417,0.9292,5
2017-07-25,4.7625,0.3079,22.2625,11.5417,31.0417,16.7,2.1,30
2017-07-26,2.6083,0.4104,17.1292,12.4348,33.1304,18.3375,3.875,3
2017-07-27,3.1542,0.2725,20.575,9,32.0833,13.4542,2.7708,9
2017-07-28,3.5,0.2521,35.625,30,82.4583,12.2,0.9208,4
2017-07-29,2.2583,0.1521,31.9167,14.25,38.2083,7.1792,0.4708,NA
2017-07-30,2.6667,0.1596,26.2917,6.25,27.6667,6.4375,0.95,NA
2017-07-31,2.6625,0.1892,28.7917,11.4583,41.2083,9.2125,0.9708,NA
2017-08-01,4.6389,0.5154,7.6944,11.1429,34.5,18.2722,6.45,15
2017-08-02,3.2333,0.5579,17.2,12.2917,32.7083,20.775,6.9333,1
2017-08-03,1.225,0.4238,18.6292,17.3333,41.5,13.2875,3.0917,8
2017-08-04,15.2583,0.2975,20.2958,16.5833,58,12.2583,1.5667,11
2017-08-05,1.3625,0.1854,19.1208,16.125,47.875,10.025,1.2208,NA
2017-08-06,2.4875,0.15,16.6542,10.7083,34.125,5.3833,0.9125,NA
2017-08-07,1.8917,0.1508,15.8208,8.5417,29.6667,4.9042,0.5333,2
2017-08-08,2.675,0.1921,13.6542,8.9583,33.2083,7.5458,1.675,21
2017-08-09,2.5208,0.1796,14.075,11.7917,29.375,7.0333,1.6542,2
2017-08-10,2.0864,0.1905,18.0591,9.7895,36.7368,6.1136,1.5909,11
2017-08-11,2.5292,0.1683,19.825,11.75,33.5,6.3833,1.8292,8
2017-08-12,2.2,0.1333,17.8833,8.5417,32.7917,5.1,1,NA
2017-08-13,2.3125,0.1388,15.0375,7.0417,25.4583,3.5125,0.6375,NA
2017-08-14,2.9,0.1158,12.2042,5.2917,21.4583,6.0958,1.2375,3
2017-08-15,2.8958,0.1217,14.9583,7.3913,22.4348,7.9583,1.1458,13
2017-08-16,3.2958,0.1812,16.4042,9.4167,24.5417,12.55,1.9125,1
2017-08-17,3.8375,0.1912,28.9833,14.5652,33.4348,9.8333,1.7375,8
2017-08-18,4.575,0.2629,37.4583,21.5833,40.875,9.7042,1.0958,10
2017-08-19,3.0792,0.1862,24.5042,15.2083,33.2917,9.1917,0.9417,1
2017-08-20,3.3125,0.1733,19.8958,10.125,30.25,9.2875,0.9292,NA
2017-08-21,3.5333,0.2383,28.4583,21,44.7083,12.1083,1.0875,3
2017-08-22,3.3583,0.3925,19.1125,14.5833,39.6667,16.1083,2.5792,15
2017-08-23,4.3083,0.2908,17.8458,8.375,30.0417,14.2375,2.6375,1
2017-08-24,3.9917,0.3858,22.0958,10.1667,30.7083,17.4458,2.0583,8
2017-08-25,2.225,0.2371,34.9583,15.2174,35.9565,11.3375,1.0417,11
2017-08-26,5.1083,0.3342,33.8917,28.6667,54.625,16.1042,1.5792,NA
2017-08-27,4.8292,0.2788,18.0583,15.75,37.75,13.3542,2.2167,NA
2017-08-28,3.5,0.3392,25.9875,10.375,39.375,16.3458,2.8083,3
2017-08-29,1.9083,0.2392,30.0458,15,38.5,12.8458,0.7333,9
2017-08-30,4.2042,0.3075,38.6667,19.913,47.6957,17.3125,1.475,6
2017-08-31,4.5458,0.3158,25.5417,23.9583,45.9167,14.0292,2.5167,7
2017-09-01,4.7667,0.5179,13.45,17.4167,40.7083,23.5833,5.4167,7
2017-09-02,5.2833,0.4392,20.2458,19.8333,43.5833,18.9167,3.5583,NA
2017-09-03,4.4167,0.2808,27.3333,12.7083,34.4583,12.4375,1.3375,NA
2017-09-04,3.1625,0.2321,22.3375,12.9583,34.6667,9.8542,1.6667,4
2017-09-05,3.45,0.26,30.825,18.4091,35.6364,11.6042,1.0083,8
2017-09-06,4.3083,0.3375,18.4708,18.2083,45.0417,14.3333,1.9667,2
2017-09-07,1.8417,0.275,17.875,9.7917,27.5833,11.6,2.2292,11
2017-09-08,3.4125,0.2446,17.1583,11.875,27.0833,10.625,1.7625,6
2017-09-09,4.9375,0.2079,16.4458,11,27.5417,10.9958,1.9208,NA
2017-09-10,3.35,0.2133,18.4167,12.2917,28.375,10.0625,0.9875,NA
2017-09-11,3.3458,0.2296,18.5417,13.9167,33.75,10.8417,1.8333,8
2017-09-12,4.0792,0.2354,28,22.25,42.5417,13.3833,2.3208,17
2017-09-13,4.9917,0.2783,45.6667,25.4167,57.2917,11.3042,0.85,2
