"date","SO2","CO","O3","PM2.5","PM10","NO2","NO","patient","allergy","hives","RH","TEMP","rain","WS_HR","WWIND","WIND","time"
2017-02-17,3.72361111111111,0.505451388888889,34.3746527777778,28.0709541062802,63.4076086956522,23.2777654259991,4.23229166666667,9,3,6,56.8576388888889,22.3958333333333,0,1.38680555555556,1.79444444444444,1.79444444444444,30
2017-02-20,4.67847222222222,0.463402777777778,25.5215277777778,28.203373015873,68.1884920634921,17.3945501207729,3.62881944444444,6,1,5,74.4027777777778,24.8958333333333,0.000694444444444444,1.38854166666667,1.72118055555556,1.72118055555556,31
2017-02-21,4.98854166666667,0.571284722222222,32.9548611111111,45.7152777777778,101.938762626263,21.8860119047619,4.00380434782609,15,11,4,74.9861111111111,24.3576388888889,0,1.29166666666667,1.86597222222222,1.86597222222222,32
2017-02-22,5.15208333333333,0.404340277777778,20.2040653036577,28.4201388888889,79.9965277777778,16.8382424791392,3.9234889657444,2,1,1,75.125,24.5972222222222,0.0145833333333333,1.603125,2.09722222222222,2.09722222222222,33
2017-02-23,3.78555253623188,0.526028079710145,22.5720643939394,22.9601449275362,67.7820048309179,20.9359217171717,4.14530495169082,9,7,2,73.7048611111111,24.5729166666667,0.0111111111111111,1.359375,2.05347222222222,2.05347222222222,34
2017-02-24,4.509375,0.736840277777778,14.4059027777778,35.5588768115942,72.4390096618358,28.3412247474747,8.14131944444444,13,7,6,69.2638888888889,19.6736111111111,0.00138888888888889,1.13819444444444,2.00034722222222,2.00034722222222,35
2017-02-27,4.62569444444444,0.519618055555556,33.3604166666667,40.3645833333333,77.2777777777778,19.4381944444444,2.57013888888889,2,1,1,66.2569444444444,19.7048611111111,0,1.37881944444444,1.90486111111111,1.90486111111111,36
2017-03-01,3.78090277777778,0.504722222222222,32.7534722222222,34.8194444444444,73.8333333333333,20.11875,2.92638888888889,2,0,2,65.8090277777778,20.7395833333333,0,1.52673611111111,2.64097222222222,2.64097222222222,37
2017-03-02,4.92013888888889,0.53375,43.590625,47.604743083004,117.95440821256,22.3397342995169,2,10,8,2,57.3368055555556,20.4722222222222,0,1.42638888888889,2.46041666666667,2.46041666666667,38
2017-03-03,6.20694444444444,0.609444444444444,38.934375,51.1182065217391,117.403079710145,26.5423611111111,4.21875,9,2,7,59.3715277777778,20.2847222222222,0,1.26388888888889,1.76736111111111,1.76736111111111,39
2017-03-06,3.659375,0.4753125,29.7260416666667,23.6111111111111,62.8229166666667,19.1423611111111,2.81284722222222,5,3,2,67.6909722222222,23.4791666666667,0,1.46597222222222,2.46388888888889,2.46388888888889,40
2017-03-07,5.10520833333333,0.685416666666667,14.3559027777778,60.5416666666667,103.077651515152,33.0831823671498,5.59583333333333,15,8,7,71.2743055555556,19.4722222222222,0.000694444444444444,1.05868055555556,1.76493055555556,1.76493055555556,41
