,date,wday,urticaria,allergy,yday,SO2,CO,O3,PM2.5,PM10,NO,NO2,TEMP,RH,RAIN,WS_HR,urticaria_M,urticaria_F,allergy_M,allergy_F,urticaria_20,urticaria_65,allergy_20,allergy_65
73,2014/3/14,5,4,6,73,6.364930556,0.690034722,38.87382246,48.04371157,93.19289361,3.123958333,23.17291667,20.58333333,60.27083333,0.2,1.404513889,3,1,0,6,1,3,4,2
76,2014/3/17,1,1,5,76,8.302083333,0.744548611,50.890625,59.16998792,108.0895229,3.516319444,26.5875,23.25694444,61.90625,0,1.088541667,0,1,1,4,1,0,4,1
77,2014/3/18,2,6,3,77,9.304955808,0.745416667,48.771875,64.19323671,115.8262105,2.84397096,25.57941919,24.43251812,68.80812198,0,1.152777778,1,5,0,3,4,2,3,0
78,2014/3/19,3,2,0,78,7.93232186,0.570549517,27.44846014,43.32843772,88.24185778,3.70723128,21.00631313,25.30208333,73.27777778,0,1.437847222,1,1,0,0,1,1,0,0
79,2014/3/20,4,1,3,79,4.198867754,0.492291667,29.82465278,29.98777174,78.96692468,2.744972826,18.50443841,24.45138889,72.3125,0.1,1.626388889,0,1,2,1,1,0,2,1
80,2014/3/21,5,7,10,80,6.948958333,0.647638889,18.49826389,50.89583333,109.1493056,6.454861111,29.24201389,17.85763889,70.45138889,0.2,1.075694444,2,5,6,4,3,4,9,1
83,2014/3/24,1,6,3,83,4.988164251,0.524326691,41.66126208,40.40343654,90.13678909,2.755406746,20.66210317,22.30902778,69.35069444,0,1.303472222,2,4,1,2,4,2,3,0
84,2014/3/25,2,11,9,84,6.430208333,0.623715278,44.17534722,47.35794082,93.57971014,2.952430556,24.68472222,23.89930556,65.17361111,0,1.25625,0,11,2,7,8,3,8,1
85,2014/3/26,3,2,0,85,7.834480676,0.490646135,27.94876208,32.22071256,71.81455863,4.309586353,21.81256039,26.20999396,68.98309179,0,1.368689614,1,1,0,0,1,1,0,0
86,2014/3/27,4,5,4,86,6.132986111,0.390625,15.94548611,11.83845029,42.06244779,6.5625,17.72840278,26.78472222,73.71180556,0.55,1.234722222,2,3,0,4,3,2,3,1
87,2014/3/28,5,3,6,87,7.298958333,0.413958333,15.92534722,17.65323068,57.65187198,6.914930556,17.159375,27.12847222,72.6875,1.066666667,2.121875,1,2,3,3,2,1,3,3
90,2014/3/31,1,3,5,90,5.468154762,0.487872024,32.90573413,13.68480418,39.97124192,3.210371377,19.45610119,24.29960317,78.59424603,5.67646164,1.559325397,1,2,2,3,1,2,5,0
91,2014/4/1,2,12,9,91,4.703376153,0.640681818,30.06294766,39.6982423,75.16108217,4.188119835,22.5284632,23.75,81.46212121,1.403722944,1.21969697,4,8,2,7,8,4,6,3
92,2014/4/2,3,2,0,92,6.948069005,0.872424242,18.41076114,43.1134854,84.29150198,9.736900253,31.22926136,22.32954545,82.64993687,1.686666667,1.13270202,1,1,0,0,2,0,0,0
93,2014/4/3,4,3,8,93,4.1366093,0.5853125,30.59791667,28.41762736,56.25060386,3.500362319,23.22693237,23.13541667,74.45486111,0.855555556,1.296527778,1,2,2,6,2,1,7,1
94,2014/4/4,5,0,0,94,5.953819444,0.640173611,32.75277778,50.11111111,94.47222222,4.094097222,23.82256944,22.23611111,79.66319444,0.633333333,0.985763889,0,0,0,0,0,0,0,0
97,2014/4/7,1,3,1,97,6.241319444,0.645590278,34.12048611,55.56823671,108.2137681,3.812847222,25.31423611,23.24305556,75.23958333,0.133333333,0.953819444,0,3,0,1,1,2,1,0
98,2014/4/8,2,7,11,98,6.008964646,0.571180556,34.48733394,40.90398551,77.33459596,4.54375,22.53353175,25.03472222,69.32986111,0,1.245486111,0,7,2,9,4,3,7,4
99,2014/4/9,3,3,1,99,5.298895202,0.531701389,39.36219807,40.51237923,82.3955314,2.860374122,21.21391634,25.95138889,69.48263889,0,1.308333333,2,1,0,1,1,2,1,0
100,2014/4/10,4,2,6,100,6.527732488,0.520866546,52.39791667,43.75437802,85.59897892,2.907787698,18.84358394,25.88194444,73.19444444,14.5,1.402083333,1,1,2,4,2,0,5,1
101,2014/4/11,5,6,7,101,6.118055556,0.473055556,49.15798611,31.20864899,68.10574495,1.962815657,18.17854167,26.0625,69.66319444,0,1.232638889,0,6,1,6,6,0,7,0
104,2014/4/14,1,5,3,104,6.210043565,0.482222222,43.24469697,37.3540157,93.61624396,2.890659507,16.65393159,26.61111111,71.24652778,0.3,1.450694444,2,3,1,2,4,1,2,1
105,2014/4/15,2,7,6,105,5.810009058,0.501875,46.73559783,37.40564614,87.35190217,2.392074275,16.95520833,24.71527778,72.59722222,0.627777778,1.524305556,1,6,2,4,6,1,5,1
106,2014/4/16,3,3,0,106,5.592013889,0.426619867,45.30726147,29.94688735,69.27813461,1.959118357,17.05533185,25.31461353,72.54740338,0.2,1.481476449,3,0,0,0,0,3,0,0
107,2014/4/17,4,2,5,107,5.080902778,0.3628125,35.81893116,15.92442084,48.69421113,2.354861111,14.13445872,26.61111111,67.21180556,0,1.809375,1,1,1,4,2,0,5,0
108,2014/4/18,5,3,4,108,5.234133454,0.297161836,29.42986111,10.99621212,44.1657197,2.862303744,12.77555857,26.60794082,71.56567029,0,1.581914251,1,2,2,2,2,1,4,0
111,2014/4/21,1,2,5,111,6.063063607,0.409502315,34.76894626,26.23948269,62.8736413,3.096012205,14.9833664,27.40972222,72.90625,0,1.523148148,1,1,1,4,2,0,4,1
112,2014/4/22,2,6,9,112,4.971633454,0.407054003,32.14122671,27.8755078,66.28286946,2.615950656,15.30973301,27.61111111,70.57638889,0,1.535069444,0,6,2,7,6,0,7,2
113,2014/4/23,3,2,0,113,7.950622029,0.541351059,43.9832916,35.53759058,70.46767951,4.735307115,20.81105629,26.41748366,72.11683007,0,1.425276929,2,0,0,0,0,2,0,0
114,2014/4/24,4,4,6,114,6.943402778,0.5478125,46.70729167,57.40447958,89.04552709,3.004513889,17.89334239,27.16666667,70.24652778,0,1.406944444,0,4,2,4,3,1,5,1
115,2014/4/25,5,1,2,115,5.210732323,0.528047458,39.34731692,32.18297494,65.80426156,2.305339105,17.02103175,27.92013889,69.85416667,0,1.278125,0,1,0,2,1,0,2,0
118,2014/4/28,1,6,6,118,6.375,0.572291667,53.43090278,32.06180007,68.46180556,2.167361111,15.86701389,26.89930556,70.50694444,0.133333333,1.395486111,3,3,3,3,5,1,4,2
119,2014/4/29,2,7,9,119,7.246557971,0.605099638,57.06494565,41.88824385,89.616491,2.286731445,18.15356966,26.60763889,62.47569444,0,1.528333333,3,4,1,8,6,1,7,2
120,2014/4/30,3,0,0,120,4.955027174,0.439407895,54.51736111,32.47504291,90.00767544,1.966410819,14.32532895,26.03874269,67.85252193,0,1.415752924,0,0,0,0,0,0,0,0
121,2014/5/1,4,2,6,121,6.438194444,0.681006944,32.16215278,50.13194444,88.35763889,3.260069444,24.05972222,24.625,77.32291667,0.362222222,0.970833333,1,1,1,5,2,0,6,0
122,2014/5/2,5,7,9,122,6.4125,0.648194444,30.95347222,38.17708333,70.06944444,3.645833333,22.51805556,25.85416667,74.92708333,0,1.040972222,1,6,3,6,4,3,8,1
125,2014/5/5,1,2,4,125,5.809722222,0.482083333,38.05069444,17.89268461,63.75945597,3.135416667,17.41461353,26.21875,76.82638889,5.462222222,1.3,1,1,2,2,1,1,1,3
126,2014/5/6,2,14,10,126,7.474652778,0.687743056,11.88229167,43.92512077,93.74350845,10.67326389,31.096875,22.43402778,82.51041667,1.035277778,0.923263889,3,11,4,6,10,4,8,2
127,2014/5/7,3,1,0,127,5.434027778,0.601909722,28.98263889,30.15066425,57.90413647,5.284375,23.50350242,24.22916667,80.14930556,0.2,1.071875,1,0,0,0,1,0,0,0
