"date","place","urticaria","allergy","both","value","weight_value_allergy","weight_value_urticaria","sum_allergy","sum_urticaria","sum_allergy1","sum_urticaria1"
2014-12-19,"获",1,0,1,4.65,0,4.65,5,5,4.70083333333333,4.54166666666667
2014-12-19,"爵繷",1,0,1,4.19166666666667,0,4.19166666666667,5,5,4.70083333333333,4.54166666666667
2014-12-22,"オ犁",1,0,1,4.83333333333333,0,4.83333333333333,5,3,5.94833333333333,4.66944444444444
2014-12-22,"玡",1,2,3,4.4125,8.825,4.4125,5,3,5.94833333333333,4.66944444444444
2014-12-22,"罚标",0,1,1,4.33333333333333,4.33333333333333,0,5,3,5.94833333333333,4.66944444444444
2014-12-22,"获",0,2,2,8.29166666666667,16.5833333333333,0,5,3,5.94833333333333,4.66944444444444
2014-12-22,"爵繷",1,0,1,4.7625,0,4.7625,5,3,5.94833333333333,4.66944444444444
2014-12-23,"オ犁",1,1,2,5.35833333333333,5.35833333333333,5.35833333333333,2,3,6.73541666666667,6.31111111111111
2014-12-23,"获",1,1,2,8.1125,8.1125,8.1125,2,3,6.73541666666667,6.31111111111111
2014-12-23,"爵繷",1,0,1,5.4625,0,5.4625,2,3,6.73541666666667,6.31111111111111
2014-12-24,"罚标",0,1,1,5.10833333333333,5.10833333333333,0,1,1,5.10833333333333,5.1875
2014-12-24,"爵繷",1,0,1,5.1875,0,5.1875,1,1,5.10833333333333,5.1875
2014-12-25,"玡",0,1,1,4.4375,4.4375,0,5,1,5.19583333333333,4.27916666666667
2014-12-25,"罚标",0,1,1,4.1125,4.1125,0,5,1,5.19583333333333,4.27916666666667
2014-12-25,"获",0,2,2,6.575,13.15,0,5,1,5.19583333333333,4.27916666666667
2014-12-25,"爵繷",1,1,2,4.27916666666667,4.27916666666667,4.27916666666667,5,1,5.19583333333333,4.27916666666667
2014-12-26,"糳",1,0,1,4.42083333333333,0,4.42083333333333,5,2,4.3675,4.85625
2014-12-26,"く猌",0,1,1,4.32083333333333,4.32083333333333,0,5,2,4.3675,4.85625
2014-12-26,"罚标",0,2,2,3.46666666666667,6.93333333333334,0,5,2,4.3675,4.85625
2014-12-26,"获",1,2,3,5.29166666666667,10.5833333333333,5.29166666666667,5,2,4.3675,4.85625
2014-12-29,"オ犁",2,1,3,3.69583333333333,3.69583333333333,7.39166666666666,3,2,4.14221014492754,3.69583333333333
2014-12-29,"罚标",0,1,1,2.69166666666667,2.69166666666667,0,3,2,4.14221014492754,3.69583333333333
2014-12-29,"获",0,1,1,6.03913043478261,6.03913043478261,0,3,2,4.14221014492754,3.69583333333333
2014-12-30,"く猌",0,4,4,5.79583333333333,23.1833333333333,0,12,5,6.66215277777778,6.17416666666667
2014-12-30,"オ犁",0,2,2,5.38333333333333,10.7666666666667,0,12,5,6.66215277777778,6.17416666666667
2014-12-30,"玡",1,0,1,5.78333333333333,0,5.78333333333333,12,5,6.66215277777778,6.17416666666667
2014-12-30,"玡马",1,0,1,7.30833333333333,0,7.30833333333333,12,5,6.66215277777778,6.17416666666667
2014-12-30,"緻",1,0,1,1.65416666666667,0,1.65416666666667,12,5,6.66215277777778,6.17416666666667
2014-12-30,"罚标",0,1,1,5.68333333333333,5.68333333333333,0,12,5,6.66215277777778,6.17416666666667
2014-12-30,"获",2,5,7,8.0625,40.3125,16.125,12,5,6.66215277777778,6.17416666666667
2014-12-31,"く猌",1,0,1,4.82083333333333,0,4.82083333333333,0,1,NA,4.82083333333333
2015-01-02,"糳",0,1,1,4.27916666666667,4.27916666666667,0,5,3,4.87916666666667,5.69305555555555
2015-01-02,"翠",1,1,1,7.9375,7.9375,7.9375,5,3,4.87916666666667,5.69305555555555
2015-01-02,"オ犁",2,1,2,4.57083333333333,4.57083333333333,9.14166666666666,5,3,4.87916666666667,5.69305555555555
2015-01-02,"玡",0,1,1,3.93333333333333,3.93333333333333,0,5,3,4.87916666666667,5.69305555555555
2015-01-02,"爵繷",0,1,1,3.675,3.675,0,5,3,4.87916666666667,5.69305555555555
2015-01-05,"糳",1,0,1,4.9875,0,4.9875,4,8,6.35625,5.41354166666667
2015-01-05,"く猌",2,0,2,5.5625,0,11.125,4,8,6.35625,5.41354166666667
2015-01-05,"オ犁",3,2,5,6.4125,12.825,19.2375,4,8,6.35625,5.41354166666667
2015-01-05,"狶堕",0,1,1,5.075,5.075,0,4,8,6.35625,5.41354166666667
2015-01-05,"玡马",0,1,1,7.525,7.525,0,4,8,6.35625,5.41354166666667
2015-01-05,"爵繷",2,0,2,3.97916666666667,0,7.95833333333334,4,8,6.35625,5.41354166666667
2015-01-06,"翠",0,2,2,8.35833333333333,16.7166666666667,0,8,1,6.21770833333333,5.08333333333333
2015-01-06,"オ犁",0,1,1,4.65833333333333,4.65833333333333,0,8,1,6.21770833333333,5.08333333333333
2015-01-06,"玡马",0,1,1,9.95833333333333,9.95833333333333,0,8,1,6.21770833333333,5.08333333333333
2015-01-06,"罚标",0,1,1,4.3375,4.3375,0,8,1,6.21770833333333,5.08333333333333
2015-01-06,"获",1,2,3,5.08333333333333,10.1666666666667,5.08333333333333,8,1,6.21770833333333,5.08333333333333
2015-01-06,"爵繷",0,1,1,3.90416666666667,3.90416666666667,0,8,1,6.21770833333333,5.08333333333333
2015-01-07,"オ犁",2,0,2,4.1125,0,8.225,0,2,NA,4.1125
2015-01-08,"く猌",0,1,1,5.2375,5.2375,0,6,2,4.51388888888889,7.72916666666667
2015-01-08,"玡",0,3,3,4.50416666666667,13.5125,0,6,2,4.51388888888889,7.72916666666667
2015-01-08,"罚标",0,2,2,4.16666666666667,8.33333333333334,0,6,2,4.51388888888889,7.72916666666667
2015-01-08,"获",2,0,2,7.72916666666667,0,15.4583333333333,6,2,4.51388888888889,7.72916666666667
2015-01-09,"玡",2,0,2,4.22083333333333,0,8.44166666666666,4,3,5.203125,4.74861111111111
2015-01-09,"玡马",1,1,2,5.80416666666667,5.80416666666667,5.80416666666667,4,3,5.203125,4.74861111111111
2015-01-09,"緻",0,1,1,3.49166666666667,3.49166666666667,0,4,3,5.203125,4.74861111111111
2015-01-09,"罚标",0,1,1,4.34583333333333,4.34583333333333,0,4,3,5.203125,4.74861111111111
2015-01-09,"获",0,1,1,7.17083333333333,7.17083333333333,0,4,3,5.203125,4.74861111111111
2015-01-12,"糳",1,1,2,4.27916666666667,4.27916666666667,4.27916666666667,5,3,4.48,4.36388888888889
2015-01-12,"オ犁",1,1,2,4.55416666666667,4.55416666666667,4.55416666666667,5,3,4.48,4.36388888888889
2015-01-12,"玡",1,2,3,4.25833333333333,8.51666666666666,4.25833333333333,5,3,4.48,4.36388888888889
2015-01-12,"罚标",0,1,1,5.05,5.05,0,5,3,4.48,4.36388888888889
2015-01-13,"糳",1,0,1,5.125,0,5.125,12,11,3.84513888888889,4.26477272727273
2015-01-13,"く猌",1,2,3,4.325,8.65,4.325,12,11,3.84513888888889,4.26477272727273
2015-01-13,"オ犁",4,2,4,4.6,9.2,18.4,12,11,3.84513888888889,4.26477272727273
2015-01-13,"玡",1,1,2,3.2625,3.2625,3.2625,12,11,3.84513888888889,4.26477272727273
2015-01-13,"緻",0,1,1,2.52083333333333,2.52083333333333,0,12,11,3.84513888888889,4.26477272727273
2015-01-13,"罚标",0,1,1,3.60416666666667,3.60416666666667,0,12,11,3.84513888888889,4.26477272727273
2015-01-13,"获",2,2,4,4.79583333333333,9.59166666666666,9.59166666666666,12,11,3.84513888888889,4.26477272727273
2015-01-13,"爵繷",2,3,3,3.10416666666667,9.31250000000001,6.20833333333334,12,11,3.84513888888889,4.26477272727273
2015-01-15,"糳",1,1,2,7.02916666666667,7.02916666666667,7.02916666666667,8,4,5.02760416666667,5.91041666666667
2015-01-15,"く猌",1,3,3,4.99166666666667,14.975,4.99166666666667,8,4,5.02760416666667,5.91041666666667
2015-01-15,"オ犁",0,1,1,5.47916666666667,5.47916666666667,0,8,4,5.02760416666667,5.91041666666667
2015-01-15,"玡",0,1,1,4.02916666666667,4.02916666666667,0,8,4,5.02760416666667,5.91041666666667
2015-01-15,"玡马",0,1,1,4.77083333333333,4.77083333333333,0,8,4,5.02760416666667,5.91041666666667
2015-01-15,"罚标",1,0,1,2.8,0,2.8,8,4,5.02760416666667,5.91041666666667
2015-01-15,"获",1,0,1,8.82083333333333,0,8.82083333333333,8,4,5.02760416666667,5.91041666666667
2015-01-15,"爵繷",0,1,1,3.9375,3.9375,0,8,4,5.02760416666667,5.91041666666667
2015-01-16,"糳",1,1,1,5.72916666666667,5.72916666666667,5.72916666666667,3,5,5.58333333333333,4.99083333333334
2015-01-16,"く猌",0,1,1,5.8125,5.8125,0,3,5,5.58333333333333,4.99083333333334
2015-01-16,"オ犁",0,1,1,5.20833333333333,5.20833333333333,0,3,5,5.58333333333333,4.99083333333334
2015-01-16,"罚标",1,0,1,4.625,0,4.625,3,5,5.58333333333333,4.99083333333334
2015-01-16,"爵繷",3,0,3,4.86666666666667,0,14.6,3,5,5.58333333333333,4.99083333333334
2015-01-19,"オ犁",1,1,2,4.84166666666667,4.84166666666667,4.84166666666667,5,4,4.905,4.40729166666667
2015-01-19,"玡",1,0,1,4.52083333333333,0,4.52083333333333,5,4,4.905,4.40729166666667
2015-01-19,"罚标",1,2,3,4.3,8.6,4.3,5,4,4.905,4.40729166666667
2015-01-19,"获",0,1,1,7.11666666666667,7.11666666666667,0,5,4,4.905,4.40729166666667
2015-01-19,"爵繷",1,1,2,3.96666666666667,3.96666666666667,3.96666666666667,5,4,4.905,4.40729166666667
2015-01-20,"翠",0,1,1,6.79583333333333,6.79583333333333,0,4,5,5.88020833333333,4.1875
2015-01-20,"オ犁",0,2,2,5.9125,11.825,0,4,5,5.88020833333333,4.1875
2015-01-20,"緻",3,0,3,3.7125,0,11.1375,4,5,5.88020833333333,4.1875
2015-01-20,"罚标",2,1,3,4.9,4.9,9.8,4,5,5.88020833333333,4.1875
2015-01-21,"罚标",0,1,1,2.84583333333333,2.84583333333333,0,1,0,2.84583333333333,NA
2015-01-22,"糳",1,0,1,4.3625,0,4.3625,3,3,7.01686507936508,4.62222222222222
2015-01-22,"く猌",0,1,1,6.34583333333333,6.34583333333333,0,3,3,7.01686507936508,4.62222222222222
2015-01-22,"オ犁",1,0,1,4.79583333333333,0,4.79583333333333,3,3,7.01686507936508,4.62222222222222
2015-01-22,"获",0,2,2,7.35238095238095,14.7047619047619,0,3,3,7.01686507936508,4.62222222222222
2015-01-22,"爵繷",1,0,1,4.70833333333333,0,4.70833333333333,3,3,7.01686507936508,4.62222222222222
2015-01-23,"オ犁",1,1,2,5.77916666666667,5.77916666666667,5.77916666666667,3,1,5.50694444444445,5.77916666666667
2015-01-23,"玡",0,1,1,5.55416666666667,5.55416666666667,0,3,1,5.50694444444445,5.77916666666667
2015-01-23,"获",0,1,1,5.1875,5.1875,0,3,1,5.50694444444445,5.77916666666667
2015-01-26,"オ犁",0,1,1,4.20833333333333,4.20833333333333,0,1,4,4.20833333333333,5.39791666666667
2015-01-26,"玡",1,0,1,4.34166666666667,0,4.34166666666667,1,4,4.20833333333333,5.39791666666667
2015-01-26,"玡马",2,0,2,4.75416666666667,0,9.50833333333334,1,4,4.20833333333333,5.39791666666667
2015-01-26,"获",1,0,1,7.74166666666667,0,7.74166666666667,1,4,4.20833333333333,5.39791666666667
2015-01-27,"く猌",1,0,1,3.94583333333333,0,3.94583333333333,14,1,3.66845238095238,3.94583333333333
2015-01-27,"オ犁",0,1,1,3.78333333333333,3.78333333333333,0,14,1,3.66845238095238,3.94583333333333
2015-01-27,"玡",0,2,2,3.09583333333333,6.19166666666666,0,14,1,3.66845238095238,3.94583333333333
2015-01-27,"罚标",0,3,3,3.17916666666667,9.53750000000001,0,14,1,3.66845238095238,3.94583333333333
2015-01-27,"获",0,7,7,4.1375,28.9625,0,14,1,3.66845238095238,3.94583333333333
2015-01-27,"爵繷",0,1,1,2.88333333333333,2.88333333333333,0,14,1,3.66845238095238,3.94583333333333
2015-01-28,"オ犁",1,0,1,4.09166666666667,0,4.09166666666667,0,2,NA,5.2875
2015-01-28,"获",1,0,1,6.48333333333333,0,6.48333333333333,0,2,NA,5.2875
2015-01-29,"く猌",0,2,2,4.64166666666667,9.28333333333334,0,6,1,5.11527777777778,4.23333333333333
2015-01-29,"オ犁",1,2,3,4.23333333333333,8.46666666666666,4.23333333333333,6,1,5.11527777777778,4.23333333333333
